RunNumber,ThoughtNumber,Thought,Intensity,participant,runNumber,type,stimulus,correct,probenumber,probetext,leftanchor,rightanchor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RunBlocks.thisRepN,RunBlocks.thisTrialN,RunBlocks.thisN,RunBlocks.thisIndex,TrialBlocks.thisRepN,TrialBlocks.thisTrialN,TrialBlocks.thisN,TrialBlocks.thisIndex,DisengageLoop.thisRepN,DisengageLoop.thisTrialN,DisengageLoop.thisN,DisengageLoop.thisIndex,SliderLoop.thisRepN,SliderLoop.thisTrialN,SliderLoop.thisN,SliderLoop.thisIndex,triggerCheck.started,displayWaiting.started,triggerCheck.keys,triggerCheck.rt,D_Cue.started,D_Fixation.started,D_Response.started,D_Cue.stopped,D_Fixation.stopped,D_Response.stopped,D_Response.keys,D_Response.corr,Reflect.started,Reflect.stopped,slider.started,sliderText.started,showPos.started,slider.response,slider.rt,slidersTimedOut,Fixation_earlyfinish.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,001,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.730341394999414,14.730341394999414,equal,1.5394261039909907,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,16.286428241000976,16.286428241000976,equal,0.1865352759923553,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,16.493099833998713,16.493099833998713,equal,0.1988729339936981,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,16.70955866400618,16.70955866400618,equal,0.18407361400022637,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,16.917618542007403,16.917618542007403,equal,0.18431266301195137,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,17.1246540860011,17.1246540860011,equal,0.17721580900251865,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,17.3145167449984,17.3145167449984,equal,0.19839477699133568,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,17.52907956299896,17.52907956299896,equal,0.16676137200556695,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,001,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,17.716237526008626,17.716237526008626,equal,0.20156748399313074,,,,,,,,,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
1,1,homework,high,001,1,go,7,2.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,17.955629460004275,18.18579686000885,18.18579686000885,18.209293122999952,19.940842127994983,19.940842127994983,None,0,,,,,,,,,,001,001,2022-12-08_08h19.03.701,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
